biological,cosmological,quantum,t
2.405,3.0,2.0,0.1
2.4119,3.0,2.0,0.238
2.4187,3.0,2.0,0.377
2.4255,3.0,2.0,0.515
2.4321,3.0,2.0,0.654
2.4386,3.0,2.0,0.792
2.4449,3.0,2.0,0.93
2.4509,3.0,2.0,1.069
2.4568,3.0,2.0,1.207
2.4623,3.0,2.0,1.345
2.4676,3.0,2.0,1.484
2.4725,3.0,2.0,1.622
2.4771,3.0,2.0,1.761
2.4813,3.0,2.0,1.899
2.4851,3.0,2.0,2.037
2.4886,3.0,2.0,2.176
2.4916,3.0,2.0,2.314
2.4941,3.0,2.0,2.453
2.4962,3.0,2.0,2.591
2.4979,3.0,2.0,2.729
2.4991,3.0,2.0,2.868
2.4998,3.0,2.0,3.006
2.5,3.0,2.0,3.144
2.4998,3.0,2.0,3.283
2.499,3.0,2.0,3.421
2.4978,3.0,2.0,3.56
2.4962,3.0,2.0,3.698
2.494,3.0,2.0,3.836
2.4914,3.0,2.0,3.975
2.4884,3.0,2.0,4.113
2.485,3.0,2.0,4.252
2.4811,3.0,2.0,4.39
2.4769,3.0,2.0,4.528
2.4723,3.0,2.0,4.667
2.4674,3.0,2.0,4.805
2.4621,3.0,2.0,4.943
2.4565,3.0,2.0,5.082
2.4507,3.0,2.0,5.22
2.4446,3.0,2.0,5.359
2.4383,3.0,2.0,5.497
2.4318,3.0,2.0,5.635
2.4252,3.0,2.0,5.774
2.4184,3.0,2.0,5.912
2.4116,3.0,2.0,6.051
2.4047,3.0,2.0,6.189
2.3978,3.0,2.0,6.327
2.3909,3.0,2.0,6.466
2.384,3.0,2.0,6.604
2.3772,3.0,2.0,6.742
2.3706,3.0,2.0,6.881
2.364,3.0,2.0,7.019
2.3577,3.0,2.0,7.158
2.3515,3.0,2.0,7.296
2.3456,3.0,2.0,7.434
2.3399,3.0,2.0,7.573
2.3345,3.0,2.0,7.711
2.3294,3.0,2.0,7.849
2.3247,3.0,2.0,7.988
2.3203,3.0,2.0,8.126
2.3164,3.0,2.0,8.265
2.3128,3.0,2.0,8.403
2.3096,3.0,2.0,8.541
2.3069,3.0,2.0,8.68
2.3046,3.0,2.0,8.818
2.3027,3.0,2.0,8.957
2.3014,3.0,2.0,9.095
2.3005,3.0,2.0,9.233
2.3,3.0,2.0,9.372
2.3001,3.0,2.0,9.51
2.3006,3.0,2.0,9.648
2.3016,3.0,2.0,9.787
2.3031,3.0,2.0,9.925
2.3051,3.0,2.0,10.064
2.3075,3.0,2.0,10.202
2.3103,3.0,2.0,10.34
2.3136,3.0,2.0,10.479
2.3173,3.0,2.0,10.617
2.3213,3.0,2.0,10.756
2.3258,3.0,2.0,10.894
2.3306,3.0,2.0,11.032
2.3357,3.0,2.0,11.171
2.3412,3.0,2.0,11.309
2.3469,3.0,2.0,11.447
2.3529,3.0,2.0,11.586
2.3591,3.0,2.0,11.724
2.3655,3.0,2.0,11.863
2.3721,3.0,2.0,12.001
2.3788,3.0,2.0,12.139
2.3856,3.0,2.0,12.278
2.3925,3.0,2.0,12.416
2.3994,3.0,2.0,12.555
2.4063,3.0,2.0,12.693
2.4132,3.0,2.0,12.831
2.42,3.0,2.0,12.97
2.4268,3.0001,2.0,13.108
2.4334,3.0005,2.0,13.246
2.4398,3.0021,2.0,13.385
2.446,3.0084,2.0001,13.523
2.4521,3.0328,2.0023,13.662
2.4578,3.1192,2.036,13.8
