P_span,critical,d_f,p
0.0038,False,2.2837,0.2
0.0042,False,2.2967,0.202
0.0046,False,2.3096,0.204
0.0051,False,2.3226,0.2061
0.0056,False,2.3356,0.2081
0.0062,False,2.3485,0.2101
0.0069,False,2.3615,0.2121
0.0076,False,2.3745,0.2141
0.0084,False,2.3874,0.2162
0.0093,False,2.4004,0.2182
0.0103,False,2.4134,0.2202
0.0113,False,2.4263,0.2222
0.0125,False,2.4393,0.2242
0.0138,False,2.4523,0.2263
0.0153,False,2.4652,0.2283
0.0169,False,2.4782,0.2303
0.0186,False,2.4912,0.2323
0.0206,False,2.5041,0.2343
0.0227,False,2.5171,0.2364
0.0251,False,2.5301,0.2384
0.0277,False,2.543,0.2404
0.0305,False,2.556,0.2424
0.0336,False,2.569,0.2444
0.0371,False,2.5819,0.2465
0.0409,False,2.5949,0.2485
0.045,False,2.6079,0.2505
0.0496,False,2.6208,0.2525
0.0545,False,2.6338,0.2545
0.06,False,2.6468,0.2566
0.0659,False,2.6597,0.2586
0.0724,False,2.6727,0.2606
0.0795,False,2.52,0.2626
0.0873,False,2.52,0.2646
0.0956,False,2.52,0.2667
0.1047,False,2.52,0.2687
0.1146,False,2.52,0.2707
0.1252,False,2.52,0.2727
0.1367,False,2.52,0.2747
0.1491,False,2.52,0.2768
0.1624,False,2.52,0.2788
0.1766,False,2.52,0.2808
0.1918,False,2.52,0.2828
0.2079,False,2.52,0.2848
0.225,False,2.52,0.2869
0.2431,False,2.52,0.2889
0.2622,False,2.52,0.2909
0.2822,False,2.52,0.2929
0.3031,False,2.52,0.2949
0.3249,False,2.52,0.297
0.3474,False,2.52,0.299
0.3706,False,2.52,0.301
0.3945,True,2.52,0.303
0.4189,True,2.52,0.3051
0.4436,True,2.52,0.3071
0.4687,True,2.52,0.3091
0.4939,True,2.52,0.3111
0.5191,True,2.52,0.3131
0.5443,True,2.52,0.3152
0.5692,True,2.52,0.3172
0.5938,True,2.52,0.3192
0.6179,True,2.52,0.3212
0.6414,False,2.52,0.3232
0.6643,False,2.52,0.3253
0.6865,False,2.52,0.3273
0.7078,False,2.52,0.3293
0.7282,False,2.52,0.3313
0.7478,False,2.52,0.3333
0.7663,False,2.52,0.3354
0.7839,False,2.52,0.3374
0.8005,False,2.52,0.3394
0.8162,False,2.52,0.3414
0.8309,False,2.52,0.3434
0.8446,False,2.52,0.3455
0.8574,False,2.52,0.3475
0.8693,False,2.52,0.3495
0.8804,False,2.52,0.3515
0.8906,False,2.52,0.3535
0.9,False,2.52,0.3556
0.9088,False,2.52,0.3576
0.9168,False,2.52,0.3596
0.9242,False,2.6968,0.3616
0.931,False,2.7028,0.3636
0.9372,False,2.7088,0.3657
0.9429,False,2.7146,0.3677
0.9481,False,2.7203,0.3697
0.9528,False,2.7259,0.3717
0.9572,False,2.7314,0.3737
0.9611,False,2.7368,0.3758
0.9647,False,2.742,0.3778
0.968,False,2.7472,0.3798
0.971,False,2.7522,0.3818
0.9737,False,2.7572,0.3838
0.9762,False,2.7621,0.3859
0.9784,False,2.7668,0.3879
0.9804,False,2.7715,0.3899
0.9823,False,2.7761,0.3919
0.984,False,2.7805,0.3939
0.9855,False,2.7849,0.396
0.9869,False,2.7892,0.398
0.9881,False,2.7934,0.4
