N,d_empirical,d_theory,name,type
100.0,,2.25,,theory
121.0,,2.26,,theory
146.0,,2.27,,theory
176.0,,2.281,,theory
212.0,,2.291,,theory
256.0,,2.301,,theory
309.0,,2.311,,theory
373.0,,2.321,,theory
450.0,,2.332,,theory
543.0,,2.342,,theory
655.0,,2.352,,theory
791.0,,2.362,,theory
954.0,,2.372,,theory
1151.0,,2.383,,theory
1389.0,,2.393,,theory
1677.0,,2.403,,theory
2024.0,,2.413,,theory
2442.0,,2.423,,theory
2947.0,,2.434,,theory
3556.0,,2.444,,theory
4292.0,,2.454,,theory
5179.0,,2.464,,theory
6251.0,,2.474,,theory
7543.0,,2.485,,theory
9103.0,,2.495,,theory
10985.0,,2.505,,theory
13257.0,,2.515,,theory
15999.0,,2.526,,theory
19307.0,,2.536,,theory
23300.0,,2.546,,theory
28118.0,,2.556,,theory
33932.0,,2.566,,theory
40949.0,,2.577,,theory
49417.0,,2.587,,theory
59636.0,,2.597,,theory
71969.0,,2.607,,theory
86851.0,,2.617,,theory
104811.0,,2.628,,theory
126486.0,,2.638,,theory
152642.0,,2.648,,theory
184207.0,,2.658,,theory
222300.0,,2.668,,theory
268270.0,,2.679,,theory
323746.0,,2.689,,theory
390694.0,,2.699,,theory
471487.0,,2.709,,theory
568987.0,,2.719,,theory
686649.0,,2.73,,theory
828643.0,,2.74,,theory
1000000.0,,2.75,,theory
1000,2.1,,Small-World,synthetic
10000,2.8,,Scale-Free,synthetic
5000,3.0,,Random,synthetic
29410,3.35,,Internet,real
4941,2.2,,Power Grid,real
4039,3.2,,Social,real
