dimension,energy,entropy,free_energy
0.15,2.582,-0.0854,2.4966
0.2,2.2361,-0.0966,2.1395
0.25,2.0,-0.104,1.896
0.3,1.8257,-0.1084,1.7174
0.35,1.6903,-0.1102,1.5801
0.4,1.5811,-0.11,1.4712
0.45,1.4907,-0.1078,1.3829
0.5,1.4142,-0.104,1.3102
0.55,1.3484,-0.0986,1.2498
0.6,1.291,-0.0919,1.199
0.65,1.2403,-0.084,1.1563
0.7,1.1952,-0.0749,1.1203
0.75,1.1547,-0.0647,1.09
0.8,1.118,-0.0536,1.0645
0.85,1.0847,-0.0414,1.0432
0.9,1.0541,-0.0284,1.0256
0.95,1.026,-0.0146,1.0114
1.0,1.0,0.0,1.0
1.05,0.9759,0.0154,0.9913
1.1,0.9535,0.0315,0.9849
1.15,0.9325,0.0482,0.9807
1.2,0.9129,0.0656,0.9785
1.25,0.8944,0.0837,0.9781
1.3,0.8771,0.1023,0.9794
1.35,0.8607,0.1215,0.9822
1.4,0.8452,0.1413,0.9865
1.45,0.8305,0.1616,0.9921
1.5,0.8165,0.1825,0.999
1.55,0.8032,0.2038,1.007
1.6,0.7906,0.2256,1.0162
1.65,0.7785,0.2479,1.0264
1.7,0.767,0.2706,1.0376
1.75,0.7559,0.2938,1.0497
1.8,0.7454,0.3174,1.0628
1.85,0.7352,0.3414,1.0766
1.9,0.7255,0.3659,1.0913
1.95,0.7161,0.3907,1.1068
2.0,0.7071,0.4159,1.123
2.05,0.6984,0.4415,1.1399
2.1,0.6901,0.4674,1.1575
2.15,0.682,0.4937,1.1757
2.2,0.6742,0.5204,1.1946
2.25,0.6667,0.5474,1.214
2.3,0.6594,0.5747,1.2341
2.35,0.6523,0.6024,1.2547
2.4,0.6455,0.6303,1.2758
2.45,0.6389,0.6586,1.2975
2.5,0.6325,0.6872,1.3197
2.55,0.6262,0.7161,1.3423
2.6,0.6202,0.7453,1.3655
2.65,0.6143,0.7748,1.3891
2.7,0.6086,0.8045,1.4131
2.75,0.603,0.8346,1.4376
2.8,0.5976,0.8649,1.4625
2.85,0.5923,0.8955,1.4878
2.9,0.5872,0.9263,1.5135
2.95,0.5822,0.9574,1.5396
3.0,0.5774,0.9888,1.5661
3.05,0.5726,1.0204,1.593
